,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
2113,2113,2139,拓邦股份,元器件,深圳,64.28,28704.28,45228.0,244786.3,166683.27,17517.5,94981.49,2.1,0.12,3.53,4.0,20070629,3.18171509895,241.0,108.0,130.0,32.3987788852
2337,2337,603012,创力集团,专用机械,上海,77.49,42383.41,63656.0,321233.13,260829.41,26201.5,117849.51,1.85,0.041,3.72,3.45,20150320,3.18151734093,244.0,110.0,132.0,77.5180079495
2227,2227,600259,广晟有色,小金属,海南,0.0,25830.58,26212.25,340587.31,244580.52,35591.37,76105.35,2.9,-0.25,1.78,29.19,20000525,3.1811342768,168.0,81.0,87.0,1.12273959579
202,202,2285,世联行,房产服务,深圳,45.89,169710.81,204496.91,692928.13,586866.0,16542.25,57203.75,0.28,0.099,1.78,5.12,20090828,3.179045996,243.0,115.0,124.0,56.2923566992
395,395,2124,天邦股份,饲料,浙江,25.78,30711.77,63667.98,200080.17,87882.88,64964.96,39243.75,0.62,0.108,1.82,6.14,20070403,3.17628048095,233.0,109.0,119.0,109.756884425
924,924,601199,江南水务,水务,江苏,25.43,93520.0,93520.0,432490.09,225689.16,132535.48,38997.96,0.42,0.183,2.55,3.65,20110317,3.17241900419,242.0,116.0,124.0,173.623953992
524,524,890,法 尔 胜,钢加工,江苏,534.57,37956.57,37964.16,295558.5,185985.22,57424.82,47292.62,1.25,0.005,2.76,4.13,19990119,3.17160607232,203.0,88.0,112.0,13.5314533255
2750,2750,603158,腾龙股份,汽车配件,江苏,44.58,10134.0,21836.59,98854.61,72775.17,14030.63,33913.12,1.55,0.132,3.69,6.37,20150320,3.17120001126,213.0,105.0,105.0,116.159071288
1412,1412,2721,金一文化,服饰,北京,126.49,25675.97,64803.6,893390.69,746431.13,39273.73,91227.25,1.41,0.04,3.22,6.35,20140127,3.17097341365,192.0,94.0,97.0,26.8613304933
1240,1240,300240,飞力达,仓储物流,江苏,57.77,36519.89,36555.98,184363.77,112657.45,36058.23,24526.32,0.67,0.09,2.76,3.77,20110706,3.1702661189,244.0,118.0,122.0,24.6279756095
2001,2001,2184,海得控制,软件服务,上海,275.25,13438.62,23939.34,192564.88,156746.61,20512.24,55348.13,2.31,0.042,4.62,5.05,20071116,3.16716877498,244.0,112.0,130.0,13.8924140851
2091,2091,2354,天神娱乐,互联网,辽宁,50.73,11548.91,29208.65,699677.75,109324.63,1222.81,363197.94,12.43,0.37,16.66,4.51,20100209,3.16696611951,154.0,79.0,75.0,2.48508270787
1866,1866,2502,骅威文化,文教休闲,广东,97.44,19952.93,42991.44,332410.22,109918.17,18083.42,231997.17,5.4,0.071,7.27,3.82,20101117,3.16584658908,150.0,72.0,76.0,10.5756285349
2175,2175,2066,瑞泰科技,其他建材,北京,205.54,23100.0,23100.0,348177.28,237702.3,79000.56,16452.7,0.71,0.021,1.62,10.45,20060823,3.16565833746,244.0,109.0,132.0,41.6874070447
1580,1580,2195,二三四五,软件服务,上海,61.22,81743.15,191046.55,648399.88,372127.78,17249.3,438582.09,2.3,0.049,3.24,3.71,20071212,3.16513024202,244.0,118.0,122.0,118.196762432
360,360,595,宝塔实业,机械基件,宁夏,0.0,24760.55,37244.01,126278.26,72424.2,21140.46,80939.9,2.17,-0.012,1.99,5.08,19960419,3.1627370239,170.0,79.0,87.0,15.5030126807
1812,1812,673,当代东方,影视音像,山西,198.54,41489.46,79333.5,258929.7,161211.7,536.93,181371.02,2.29,0.015,2.67,4.33,19970124,3.15540927285,201.0,93.0,101.0,100.926184613
2432,2432,996,中国中期,公路,北京,517.15,23000.0,23000.0,67878.42,7931.75,5374.83,25696.5,1.12,0.011,2.57,9.07,20000718,3.15538488915,217.0,104.0,110.0,54.8355795362
2744,2744,526,紫光学大,文教休闲,福建,0.0,9619.5,9619.5,33240.09,15406.19,2100.43,5808.39,0.6,-0.006,1.48,31.7,19931101,3.15408160726,244.0,116.0,127.0,5.29992304771
1014,1014,300387,富邦股份,化工原料,湖北,55.46,4088.57,12468.0,91487.93,64169.45,5365.31,25134.46,2.02,0.136,5.13,5.9,20140702,3.15306741422,244.0,104.0,136.0,75.0444194499
1015,1015,300133,华策影视,影视音像,浙江,56.49,115289.34,174662.55,904364.88,635431.94,4092.9,349637.06,2.0,0.067,3.51,4.31,20101026,3.15223656906,244.0,123.0,117.0,84.6903668556
699,699,600410,华胜天成,软件服务,北京,464.08,89242.36,89586.35,665613.75,450970.69,57488.26,68731.45,0.77,0.006,2.64,4.27,20040427,3.15208335936,244.0,114.0,127.0,60.4895896429
774,774,2369,卓翼科技,通信设备,深圳,318.87,41746.12,48400.3,300755.75,160308.47,100037.5,66987.15,1.38,0.009,2.81,4.25,20100316,3.15083118112,200.0,94.0,105.0,57.1572236457
786,786,2357,富临运业,公路,四川,38.57,31324.73,31348.9,296093.69,59190.96,83060.75,17952.39,0.57,0.096,3.22,4.58,20100210,3.14937804341,218.0,101.0,115.0,43.3627508752
